ID,中藥中文名,中藥拉丁學名,中藥英文名,中藥基原,西藥學名,建議處理方式,項次_x,研究設計,可能交互作用機轉,可能交互作用結果,參考文獻,項次_y,篇名,連結
740,甘草,拉丁學名：GLYCYRRHIZAE RADIX ET RHIZOMA,英文名：Liquorice Root and Rhizome,基原：,學名：Prednisolone,"長期或高
劑量使用甘草，而且併用類固醇者，應注意觀察整體效應，並由醫師調整用藥。","['1', '2', '3', '4']","['文獻回顧', '文獻回顧', '文獻回顧', 'Open-label human study']","['甘草根會刺激干擾素的生成，而且具抗氧化以及抗發炎的活性。', '甘草的成分glycerrhyzin會抑制11β-H 去氫酶，此酵素是用來去活化cortisol。', '甘草甜素和甘草次酸皆會抑制5α-, 5β-reductase以及11β-dehydrogenase，導致類固醇不活化。', 'Glycyrrhizin及glycyrrhetinic acid經由抑制 Prednisolon代謝而增強其藥物作用。 \nGlycyrrhizin可能直接藉\r\r\n由抑制血栓、抑制皮質，改變皮質類固醇的表現、加強免疫抑制的功效。']","['具有免疫刺激\r\r\n作用的中草藥可能會抵消掉免疫抑制劑(例如:類固醇或 cyclosporine)的免疫抑制作用。', '長期使用或過量使用甘草，在動物或人身上可能會產生高度的礦質類固醇樣的效應，加強類固醇的效果。', '此篇文獻研究小柴胡湯、柴朴湯、柴苓湯與Prednisolone的交互作用，因為三者皆含有glycyrrhizin(甘草成分)。\n小柴胡湯會顯著降低Prednisolone之\r\r\nAUC 17.2%；柴朴湯會顯著增加Prednisolone之AUC 15.2%；柴苓湯則不改變Prednisolone之AUC。', '當甘草與Prednisolone併用時，會增強其藥物本身的作用。\n此兩\r\r\n種藥物併用時，可能會增加Prednisolone的作用，然而甘草也含有刺激免疫的成分，可能會抵消Prednisolone的免疫抑制作用。']","['246', '180', '108', '179']","[None, None, None, None]","['Hu Z, Yang X, Ho PC, Chan SY, Heng PW, Chan E, Duan W, Koh HL, Zhou S . Herb-drug interactions: a literature review. \r\r\nDrugs. 2005; 65(9):1239-82. [SCI] Impact Factor: 4.732', 'Coxeter PD, McLachlan AJ, Duke CC, Roufogalis BD. Herb-drug interactions: an evidence based approach. Curr Med Chem. \r\r\n2004; 11(11):1513-25. [SCI] Impact Factor: 4.630.', 'Ulbricht C, Chao W, Costa D, Rusie-Seamon E, Weissner W, Woods J (2008) Clinical evidence of herb-drug interactions: a \r\r\nsystematic review by the natural standard research collaboration. Curr Drug Metab 9: 1063-1120.', 'LG Miller (1998) Herbal medicinals: selected clinical considerations focusing on known or potential drug-herb \r\r\ninteractions. Arch Intern Med 158: 2200-2211.']","[None, None, None, None]"
741,甘草,拉丁學名：GLYCYRRHIZAE RADIX ET RHIZOMA,英文名：Liquorice Root and Rhizome,基原：,學名：Prednisolone,"長期或高劑量使用甘草，而且併用類固醇者，應注意觀察整體效應，並由醫師調整
用藥。","['1', '2', '3', '4']","['文獻回顧', '文獻回顧', '文獻回顧', 'Open-label human study']","['甘草根會刺激干擾素的生成，而且具抗氧化以及抗發炎的活性。', '甘草的成分glycerrhyzin會抑制11β-H 去氫酶，此酵素是用來去活化cortisol。', '甘草甜素和甘草次酸皆會抑制5α-, 5β-reductase以及11β-dehydrogenase，導致類固醇不活化。', 'Glycyrrhizin及glycyrrhetinic acid經由抑制 Prednisolon代謝而增強其藥物作用。 \nGlycyrrhizin可能直接藉\r\r\n由抑制血栓、抑制皮質，改變皮質類固醇的表現、加強免疫抑制的功效。']","['具有免疫刺激\r\r\n作用的中草藥可能會抵消掉免疫抑制劑(例如:類固醇或 cyclosporine)的免疫抑制作用。', '長期使用或過量使用甘草，在動物或人身上可能會產生高度的礦質類固醇樣的效應，加強類固醇的效果。', '此篇文獻研究小柴胡湯、柴朴湯、柴苓湯與Prednisolone的交互作用，因為三者皆含有glycyrrhizin(甘草成分)。\n小柴胡湯會顯著降低Prednisolone之\r\r\nAUC 17.2%；柴朴湯會顯著增加Prednisolone之AUC 15.2%；柴苓湯則不改變Prednisolone之AUC。', '當甘草與Prednisolone併用時，會增強其藥物本身的作用。\n此兩\r\r\n種藥物併用時，可能會增加Prednisolone的作用，然而甘草也含有刺激免疫的成分，可能會抵消Prednisolone的免疫抑制作用。']","['246', '180', '108', '179']","[None, None, None, None]","['Hu Z, Yang X, Ho PC, Chan SY, Heng PW, Chan E, Duan W, Koh HL, Zhou S . Herb-drug interactions: a literature review. \r\r\nDrugs. 2005; 65(9):1239-82. [SCI] Impact Factor: 4.732', 'Coxeter PD, McLachlan AJ, Duke CC, Roufogalis BD. Herb-drug interactions: an evidence based approach. Curr Med Chem. \r\r\n2004; 11(11):1513-25. [SCI] Impact Factor: 4.630.', 'Ulbricht C, Chao W, Costa D, Rusie-Seamon E, Weissner W, Woods J (2008) Clinical evidence of herb-drug interactions: a \r\r\nsystematic review by the natural standard research collaboration. Curr Drug Metab 9: 1063-1120.', 'LG Miller (1998) Herbal medicinals: selected clinical considerations focusing on known or potential drug-herb \r\r\ninteractions. Arch Intern Med 158: 2200-2211.']","[None, None, None, None]"
742,甘草,拉丁學名：GLYCYRRHIZAE RADIX ET RHIZOMA,英文名：Liquorice Root and Rhizome,基原：,學名：Insulin,"若須併用，宜監測血糖及血中鈉、鉀濃度，並衛教病人低血糖發生之徵象及處理方式，對於低血糖較敏
感之老年人或已併用多種降血糖藥品者，須特別留意。","['1', '2']","['動物實驗', '臨床個案']","['機制未明。', '詳細機轉未明，可能Insulin本身會導致低血鉀和鈉滯留，而甘草素也會影響電解質、aldosterone及renin活性，兩者併\r\r\n用會增加低血鉀和鈉滯留風險。']","['甘草\r\r\n所含甘草甜素Glycyrrhizin 在動物試驗具降血糖作用。降血糖藥若與甘草併用，不確定是否有加成作用而造成血糖偏低。', '可能增加低血鉀和鈉滯留的發生\r\r\n率。']","['226', '1,4,25']","[None, None, None, None]","['Natural Standard Professional Database Interaction Checker', 'Micromedex 2.0', 'Hypokalemia and sodium retention in patients with diabetes and chronic hepatitis receiving insulin and \r\r\nglycyrrhizin.Endocrinol Jpn. 1983 Apr;30(2):243-9.', 'M Roy, A Chakraborti (2011) Ameliorative effects of glycyrrhizin on streptozotocin-induced diabetes in rats. J Pharm \r\r\nPharmacol 63: 287-296.']","[None, None, None, None]"
743,甘草,拉丁學名：GLYCYRRHIZAE RADIX ET RHIZOMA,英文名：Liquorice Root and Rhizome,基原：,學名：Insulin,"若須併用，宜監測血糖及血中鈉、鉀濃度，並衛教病人低血糖發生之徵象及處理方式，對於低血糖較敏感之老年人或已併用
多種降血糖藥品者，須特別留意。","['1', '2']","['動物實驗', '臨床個案']","['機制未明。', '詳細機轉未明，可能Insulin本身會導致低血鉀和鈉滯留，而甘草素也會影響電解質、aldosterone及renin活性，兩者併\r\r\n用會增加低血鉀和鈉滯留風險。']","['甘草\r\r\n所含甘草甜素Glycyrrhizin 在動物試驗具降血糖作用。降血糖藥若與甘草併用，不確定是否有加成作用而造成血糖偏低。', '可能增加低血鉀和鈉滯留的發生\r\r\n率。']","['226', '1,4,25']","[None, None, None, None]","['Natural Standard Professional Database Interaction Checker', 'Micromedex 2.0', 'Hypokalemia and sodium retention in patients with diabetes and chronic hepatitis receiving insulin and \r\r\nglycyrrhizin.Endocrinol Jpn. 1983 Apr;30(2):243-9.', 'M Roy, A Chakraborti (2011) Ameliorative effects of glycyrrhizin on streptozotocin-induced diabetes in rats. J Pharm \r\r\nPharmacol 63: 287-296.']","[None, None, None, None]"
744,桑白皮,拉丁學名：MORI CORTEX,英文名：Mulberry Root Bark,基原：,學名：降血糖藥,"若須併用，宜監測血糖，並衛教病人低血糖發生之徵象及處理方式，對於低血糖較敏感之老年人或
已併用多種降血糖藥品者，須特別留意。",['1'],['動物實驗'],['機制未明。'],['桑白皮具有降血糖\r\r\n作用，若降血糖藥與桑白皮合併使用，不確定是否有加成作用而造成血糖偏低。'],['225'],[None],"['HJ Choi, NJ Kim, DH Kim (2000) Inhibitory effects of crude drugs on α-glucosidase. Arch Pharmacal Res 23: 261-266.']",[None]
752,虎杖,拉丁學名：POLYGONI CUSPIDATI RHIZOMA ET RADIX,英文名：Giant Knotweed Rhizome and Root,基原：,學名：Cyclosporin,"服用Cyclosporin
的病患宜避免併服虎杖。",['1'],['體外試驗'],['多醇類物質，像resveratrol、naringin、葡萄柚汁在文獻中被指出能作為CYP3A4的抑制劑。'],['虎杖中的成分resveratrol為一\r\r\n種多醇物，在此實驗中發現能抑制cyclosporin經由CYP3A4的轉化作用，所以會提高cyclosporin的血中濃度。'],['216'],[None],"['G Regev-Shoshani, O Shoseyov, Z Kerem (2004) Influence of lipophilicity on the interactions of hydroxy stilbenes with \r\r\ncytochrome P450 3A4. Biochem Biophys Res Commun 323: 668-673.']",[None]
753,虎杖,拉丁學名：POLYGONI CUSPIDATI RHIZOMA ET RADIX,英文名：Giant Knotweed Rhizome and Root,基原：,學名：Carbamazepine,"Carbamazepine治療期間，若需使用虎杖，應密切監
控Carbamazepine血中濃度，必要時由醫師調整用藥。",['1'],['動物實驗'],['腎臟內的MRP 2被抑制，可以解釋CBZE代謝減緩的情形。'],['虎\r\r\n杖的急速或慢性攝取，會透過抑制CYP 3A和MRP 2，顯著地增加腦中Carbamazepine及其代謝物CBZE的濃度。'],['212'],[None],"['YC Chi, SP Lin, YC Hou (2012) A new herb–drug interaction of Polygonum cuspidatum, a resveratrol–rich \r\r\nnutraceutical,with carbamazepine in rats. Toxicol Appl Pharmacol 263: 315-322.']",[None]
754,鬱金,拉丁學名：CURCUMAE RADIX,英文名：Curcuma Root,基原：本品為薑科Zingiberaceae植物溫鬱金,學名：Docetaxel,由醫師調整用藥，並觀察治療的反應。,['1'],['動物試驗'],['Docetaxel和薑黃素併用，可以抑制肺癌A549細胞的生長。'],['Docetaxel 和鬱金中所含的成分薑黃素，可以協同促進抗癌的活性。'],['211'],[None],"['H Yin, R Guo, Y Xu, Y Zheng, Z Hou, X Dai, Z Zhang, D Zheng, H Xu (2012) Synergistic antitumor efﬁciency of docetaxel \r\r\nand curcumin against lung cancer. Acta Biochim Biophys Sin (Shanghai) 44: 147-153.']",[None]
755,鬱金,拉丁學名：CURCUMAE RADIX,英文名：Curcuma Root,基原：本品為薑科Zingiberaceae植物溫鬱金,學名：NSAID類,若需併用，宜注意藥物劑量，觀察是否出血，落實凝血功能監控。,['1'],['文獻回顧'],['鬱金有抗血小板之活性，有文獻指出其機轉為抑制前列腺素以及血栓素之合成，還可刺激hydrocortisone之分泌。'],['NSAID可能會與鬱金產生藥理上的加成作用，合用這兩個藥可能會造成凝血障礙，出血風險上升。'],['209'],[None],['W Abebe (2002) Herbal medication: potential for adverse interactions with analgesic drugs. J Clin Phar Ther 27: 391-\r\r\n401.'],[None]
756,鬱金,拉丁學名：CURCUMAE RADIX,英文名：Curcuma Root,基原：本品為薑科Zingiberaceae植物溫鬱金,學名：Warfarin,若需併用，宜注意藥物劑量，觀察是否出血，落實凝血功能監控。,['1'],['文獻回顧'],['機制未明。'],['鬱金具有抗凝血的功能。抗凝血劑若與鬱金合併使用，不確定是否增加抗凝血效果。'],['208'],[None],"['AM Heck, BA DeWitt, AL Lukes (2000) Potential interactions between alternative therapies and warfarin. Am J Health Syst \r\r\nPharm 57: 1221-1227.']",[None]
757,蒲公英,拉丁學名：TARAXACI HERBA,英文名：Mongolian Dandelion Herb,基原：本品為菊科Compositae植物蒲公英,學名：Ciproﬂoxacin,"由醫師調整用藥，並觀察治療的
反應。",['1'],['文獻回顧'],['蒲公英含有大量的礦物質，所以有可能會干擾quinolone類抗生素之吸收。'],['動物試驗發現蒲公英會減少ciprofloxacin的效用\r\r\n。'],['180'],[None],"['Ulbricht C, Chao W, Costa D, Rusie-Seamon E, Weissner W, Woods J (2008) Clinical evidence of herb-drug interactions: a \r\r\nsystematic review by the natural standard research collaboration. Curr Drug Metab 9: 1063-1120.']",[None]
759,蒲公英,拉丁學名：TARAXACI HERBA,英文名：Mongolian Dandelion Herb,基原：本品為菊科Compositae植物蒲公英,學名：Furosemide,Furosemide併用蒲公英時，宜監測血壓及血中鈉鉀離子濃度。,['1'],['文獻回顧'],['Furosemide的利尿機轉是鈉與水一起排泄，而如併用蒲公英，則鈉不會排出。留鈉排水型的中草藥，使鈉離子滯留\r\r\n，不利於水腫或高血壓的治療。'],['蒲公英可能造成鈉水滯留，抵銷furosemide的降壓功效。'],['246'],[None],['LG Miller (1998) Herbal medicinals: selected clinical considerations focusing on known or potential drug-herb \r\r\ninteractions. Arch Intern Med 158: 2200-2211.'],[None]
761,蒲公英,拉丁學名：TARAXACI HERBA,英文名：Mongolian Dandelion Herb,基原：本品為菊科Compositae植物蒲公英,學名：Hydrochlorothiazide,如果服用利尿劑或降血壓藥物，併用蒲公英時，宜注意排尿量，監測血壓及血中鈉鉀離子濃度。,['1'],['文獻回顧'],['Hydrochlorothiazid的利尿機轉是鈉與水一起排泄，而如併用蒲公英，則鈉不會排出。留鈉排水型的中\r\r\n草藥，使鈉離子滯留，不利於水腫或高血壓的治療。'],['蒲公英可能造成鈉水滯留，抵銷hydrochlorothiazide的降\r\r\n壓功效。'],['246'],[None],['LG Miller (1998) Herbal medicinals: selected clinical considerations focusing on known or potential drug-herb \r\r\ninteractions. Arch Intern Med 158: 2200-2211.'],[None]
763,蒲公英,拉丁學名：TARAXACI HERBA,英文名：Mongolian Dandelion Herb,基原：本品為菊科Compositae植物蒲公英,學名：Thiazide,"如果服用利尿劑或降血壓藥物，併
用蒲公英時，宜監測血壓及血中鈉鉀離子濃度。",['1'],['文獻回顧'],['Thiazide的利尿機轉是鈉與水一起排泄，而如併用蒲公英，則鈉不會排出。'],['蒲公英\r\r\n與利尿劑併用可能會抵銷Thiazide的降血壓療效。'],['246'],[None],['LG Miller (1998) Herbal medicinals: selected clinical considerations focusing on known or potential drug-herb \r\r\ninteractions. Arch Intern Med 158: 2200-2211.'],[None]
764,黃耆,拉丁學名：ASTRAGALI RADIX,英文名：Astragalus Root,基原：本品為豆科Leguminosae植物蒙古黃耆,學名：降血糖藥,"若須併用，宜監測血糖，並衛教病人低血糖發生之徵象及處理方式，對於低血糖較敏感之老年人或已
併用多種降血糖藥品者，須特別留意。","['1', '2']","['動物實驗', '動物實驗']","['機制未明。', '機制未明。']","['黃耆具有降血糖作\r\r\n用，若降血糖藥與黃耆合併使用，不確定是否有加成作用而造成血糖偏低。', '黃耆具有降血糖作\r\r\n用，若降血糖藥與黃耆合併使用，不確定是否有加成作用而造成血糖偏低。']","['191', '191']","[None, None]","['Selective elevation of adiponectin production by the natural compounds derived from a medicinal herb alleviates insulin \r\r\nresistance and glucose intolerance in obese mice. Endocrinology 150: 625-633.', 'Selective elevation of adiponectin production by the natural compounds derived from a medicinal herb alleviates insulin \r\r\nresistance and glucose intolerance in obese mice. Endocrinology 150: 625-633.']","[None, None]"
772,黃耆,拉丁學名：ASTRAGALI RADIX,英文名：Astragalus Root,基原：本品為豆科Leguminosae植物蒙古黃耆,學名：降血糖藥,"若須併用，宜監測血糖，並衛教病人低血糖發生之徵象及處理方式，對於低血糖較敏感之老年人或已
併用多種降血糖藥品者，須特別留意。","['1', '2']","['動物實驗', '動物實驗']","['機制未明。', '機制未明。']","['黃耆具有降血糖作\r\r\n用，若降血糖藥與黃耆合併使用，不確定是否有加成作用而造成血糖偏低。', '黃耆具有降血糖作\r\r\n用，若降血糖藥與黃耆合併使用，不確定是否有加成作用而造成血糖偏低。']","['191', '191']","[None, None]","['Selective elevation of adiponectin production by the natural compounds derived from a medicinal herb alleviates insulin \r\r\nresistance and glucose intolerance in obese mice. Endocrinology 150: 625-633.', 'Selective elevation of adiponectin production by the natural compounds derived from a medicinal herb alleviates insulin \r\r\nresistance and glucose intolerance in obese mice. Endocrinology 150: 625-633.']","[None, None]"
773,黃耆,拉丁學名：ASTRAGALI RADIX,英文名：Astragalus Root,基原：本品為豆科Leguminosae植物蒙古黃耆,學名：Cyclosporine,服用Cyclosporin的病患宜避免併服黃耆。,['1'],['文獻回顧'],['黃耆會刺激T細胞活性'],['黃耆為免疫刺激中藥，會弱化cyclosporin的免疫抑制作用'],['246'],[None],['LG Miller (1998) Herbal medicinals: selected clinical considerations focusing on known or potential drug-herb \r\r\ninteractions. Arch Intern Med 158: 2200-2211.'],[None]
790,生地黃,拉丁學名：,英文名：,基原：,學名：Risperidone Quetiapine Quetiapine,避免合併使用。,['1'],['cross-sectional study'],['仍待評估'],['1.在抗精神病藥中，quetiapine與中藥併用，在此次研究中，發現會增加不良結果的風險；\n2.有六種中藥發現與\r\r\n抗精神病藥併用會產生不良的結果，其中一個中藥即為生地黃。'],['160'],[None],['An epidemiological study of concomitant use of Chinese medicine and antipsychotics in schizophrenic patients: \r\r\nimplication for herb-drug interaction. PLoS ONE 6: e17239.'],[None]
791,蒼朮,拉丁學名：ATRACTYLODIS RHIZOMA,英文名：Atractylodes Rhizome,基原：本品為菊科Compositae植物北蒼朮,學名：降血糖藥,"若須併用，宜監測血糖，並衛教病人低血糖發生之徵象及處理方式，對於低血糖較敏感之老年人或已
併用多種降血糖藥品者，須特別留意。",['1'],['動物實驗'],['機制未明。'],['蒼朮具有降血糖作\r\r\n用，原始文獻無提及併用，無描述交互作用。若降血糖藥與蒼朮合併使用，不確定是否有加成作用而造成血糖偏低。'],['154'],[None],"['Evaluation of antidiabetic potential of selected traditional Chinese medicines in STZ-induced diabetic mice. J \r\r\nEthnopharmacol 137: 1135-1142,奇美醫院藥劑部（無日期）。中西藥交互作用查詢系統。取自 http://www.chimei. \r\r\norg.tw/main/right/right01/cmh_department/55500/DIS/cdrug_interactio']",[None]
805,枳殼,拉丁學名：CITRI IMMATURUS FRUCTUS,英文名：Bitter Orange,基原：,學名：Amlodipine,"若合併使用枳殼與Amlodipine，應注意是否有頭痛
、水腫、疲倦、噁心、臉部潮紅和暈眩等症狀，也須注意血壓的變化。",['1'],['案例通報'],['芸香科的枳殼可能抑制CYP3A4，進而影響Amlodipine代謝。'],['Amlodipine\r\r\n副的副作用反應增加。'],[None],[None],['無相關文獻。'],[None]
806,天麻鉤藤飲,拉丁學名：,英文名：,基原：,學名：Amlodipine,"中西藥交互作用的影響未達顯著，仍可建議病人，留意血壓變
化。",['1'],['動物實驗'],['天麻鉤藤飲對Amlodipine沒有影響。'],['影響未達顯著'],['247'],[None],['鮑力恒 (2015) 常用降血壓中藥複方與降血壓西藥之中西藥交互作用 (衛生福利部研究計畫)'],[None]
807,黃連解毒湯,拉丁學名：,英文名：,基原：,學名：Amlodipine,"中西藥交互作用的影響未達顯著，仍可建議病人，留意血壓變
化。",['1'],['動物實驗'],['黃連解毒湯對Amlodipine沒有影響。'],['影響未達顯著'],['247'],[None],['鮑力恒 (2015) 常用降血壓中藥複方與降血壓西藥之中西藥交互作用 (衛生福利部研究計畫)'],[None]
808,六味地黃丸,拉丁學名：,英文名：,基原：,學名：Amlodipine,中西藥交互作用的影響未達顯著，仍可建議病人，留意血壓變化。,['1'],['動物實驗'],['六味地黃丸對Amlodipine之吸收速率有促進之效果，\n對於血壓之影響，未達統計上之顯著差異，中西藥交互\r\r\n作用不明顯。'],['影響\r\r\n未達顯著'],['247'],[None],['鮑力恒 (2015) 常用降血壓中藥複方與降血壓西藥之中西藥交互作用 (衛生福利部研究計畫)'],[None]
809,濟生腎氣丸《丸》,拉丁學名：,英文名：,基原：,學名：Amlodipine,"中西藥交互作用的影響未達顯著，仍可建議病人，留意血壓
變化。",['1'],['動物實驗'],['濟生腎氣丸對Amlodipine沒有影響。'],['影響未達顯著'],['247'],[None],['鮑力恒 (2015) 常用降血壓中藥複方與降血壓西藥之中西藥交互作用 (衛生福利部研究計畫)'],[None]
810,加味逍遙散,拉丁學名：,"英文名：Jiawei Siaoyao San Concentrated Preparation (Granules, Powder) ;  Jaiwei Xiaoyao San Concentrated Preparation (Granules, Powder)",基原：,學名：Amlodipine,中西藥交互作用的影響未達顯著，仍可建議病人，留意血壓變化。,['1'],['動物實驗'],['加味逍遙散Amlodipine沒有影響。'],['影響未達顯著'],['247'],[None],['鮑力恒 (2015) 常用降血壓中藥複方與降血壓西藥之中西藥交互作用 (衛生福利部研究計畫)'],[None]
811,半夏天麻白朮湯,拉丁學名：,英文名：,基原：,學名：Amlodipine,"中西藥交互作用的影響未達顯著，仍可建議病人，留意血
壓變化。",['1'],['動物實驗'],['半夏天麻白朮湯對Amlodipine沒有影響。'],['影響未達顯著'],['247'],[None],['鮑力恒 (2015) 常用降血壓中藥複方與降血壓西藥之中西藥交互作用 (衛生福利部研究計畫)'],[None]
812,血府逐瘀湯,拉丁學名：,英文名：,基原：,學名：Amlodipine,中西藥交互作用的影響未達顯著，仍可建議病人，留意血壓變化。,['1'],['動物實驗'],['血府逐瘀湯會影響Amlodipine，局部時段增加降血壓效果，總時段對血壓之影響，未達統計上之顯著差異，中\r\r\n西藥交互作用不明顯。'],['影響未達顯著'],['247'],[None],['鮑力恒 (2015) 常用降血壓中藥複方與降血壓西藥之中西藥交互作用 (衛生福利部研究計畫)'],[None]
813,補陽還五湯,拉丁學名：,英文名：,基原：,學名：Amlodipine,中西藥交互作用的影響未達顯著，仍可建議病人，留意血壓變化。,['1'],['動物實驗'],['補陽還五湯會增加Amlodipine之吸收速率，也會增加該相對應時段降血壓之效果，總時段對血壓之影響，未達\r\r\n統計上之顯著差異，中西藥交互作用不明顯。'],['影響未達顯著'],['247'],[None],['鮑力恒 (2015) 常用降血壓中藥複方與降血壓西藥之中西藥交互作用 (衛生福利部研究計畫)'],[None]
814,天麻鉤藤飲,拉丁學名：,英文名：,基原：,學名：Valsartan,中西藥交互作用的影響未達顯著，仍可建議病人，留意血壓變化。,['1'],['動物實驗'],['天麻鉤藤飲對Valsartan沒有影響。'],['影響未達顯著'],['247'],[None],['鮑力恒 (2015) 常用降血壓中藥複方與降血壓西藥之中西藥交互作用 (衛生福利部研究計畫)'],[None]
815,黃連解毒湯,拉丁學名：,英文名：,基原：,學名：Valsartan,中西藥交互作用的影響未達顯著，仍可建議病人，留意血壓變化。,['1'],['動物實驗'],['黃連解毒湯對Valsartan沒有影響。'],['影響未達顯著'],['247'],[None],['鮑力恒 (2015) 常用降血壓中藥複方與降血壓西藥之中西藥交互作用 (衛生福利部研究計畫)'],[None]
816,六味地黃丸,拉丁學名：,英文名：,基原：,學名：Valsartan,中西藥交互作用的影響未達顯著，仍可建議病人，留意血壓變化。,['1'],['動物實驗'],['六味地黃丸對Valsartan之吸收速率有促進之效果，對於血壓之影響，未達統計上之顯著差異，中西藥交互作用\r\r\n不明顯。'],['影響未達\r\r\n顯著'],['247'],[None],['鮑力恒 (2015) 常用降血壓中藥複方與降血壓西藥之中西藥交互作用 (衛生福利部研究計畫)'],[None]
817,濟生腎氣丸《丸》,拉丁學名：,英文名：,基原：,學名：Valsartan,"中西藥交互作用的影響未達顯著，仍可建議病人，留意血壓變
化。",['1'],['動物實驗'],['濟生腎氣丸對Valsartan沒有影響。'],['影響未達顯著'],['247'],[None],['鮑力恒 (2015) 常用降血壓中藥複方與降血壓西藥之中西藥交互作用 (衛生福利部研究計畫)'],[None]
818,加味逍遙散,拉丁學名：,"英文名：Jiawei Siaoyao San Concentrated Preparation (Granules, Powder) ;  Jaiwei Xiaoyao San Concentrated Preparation (Granules, Powder)",基原：,學名：Valsartan,中西藥交互作用的影響未達顯著，仍可建議病人，留意血壓變化。,['1'],['動物實驗'],['加味逍遙散Valsartan沒有影響。'],['影響未達顯著'],['247'],[None],['鮑力恒 (2015) 常用降血壓中藥複方與降血壓西藥之中西藥交互作用 (衛生福利部研究計畫)'],[None]
819,半夏天麻白朮湯,拉丁學名：,英文名：,基原：,學名：Valsartan,"中西藥交互作用的影響未達顯著，仍可建議病人，留意血壓
變化。",['1'],['動物實驗'],['半夏天麻白朮湯對Valsartan沒有影響。'],['影響未達顯著'],['247'],[None],['鮑力恒 (2015) 常用降血壓中藥複方與降血壓西藥之中西藥交互作用 (衛生福利部研究計畫)'],[None]
820,血府逐瘀湯,拉丁學名：,英文名：,基原：,學名：Valsartan,中西藥交互作用的影響未達顯著，仍可建議病人，留意血壓變化。,['1'],['動物實驗'],['血府逐瘀湯會影響Valsartan，局部時段增加降血壓效果，總時段對血壓之影響，未達統計上之顯著差異，中西\r\r\n藥交互作用不明顯。'],['影響未達顯著'],['247'],[None],['鮑力恒 (2015) 常用降血壓中藥複方與降血壓西藥之中西藥交互作用 (衛生福利部研究計畫)'],[None]
821,補陽還五湯,拉丁學名：,英文名：,基原：,學名：Valsartan,中西藥交互作用的影響未達顯著，仍可建議病人，留意血壓變化。,['1'],['動物實驗'],['補陽還五湯對Valsartan沒有影響。'],['影響未達顯著'],['247'],[None],['鮑力恒 (2015) 常用降血壓中藥複方與降血壓西藥之中西藥交互作用 (衛生福利部研究計畫)'],[None]
822,六味地黃丸,拉丁學名：,英文名：,基原：,學名：Aspirin,無。,['1'],['體外實驗'],['HPLC實驗分析，六味地黃丸對Aspirin的影響未達顯著。'],['影響未達顯著'],['248'],[None],['蔡金川 (2011) 建立台灣常用中藥方劑與阿司匹靈交互作用快速分析平台 (衛生福利部研究計畫)'],[None]
823,八味地黃丸,拉丁學名：,英文名：,基原：,學名：Aspirin,無。,['1'],['體外實驗'],['HPLC實驗分析，八味地黃丸對Aspirin的影響未達顯著。'],['影響未達顯著'],['248'],[None],['蔡金川 (2011) 建立台灣常用中藥方劑與阿司匹靈交互作用快速分析平台 (衛生福利部研究計畫)'],[None]
824,知柏地黃丸,拉丁學名：,英文名：,基原：,學名：Aspirin,無。,"['1', '2']","['體外實驗', '健保資料庫分\r\r\n析']","['HPLC實驗分析，知柏地黃丸對Aspirin的影響未達顯著。', '機制未明']","['影響未達顯著', '由1997至\r\r\n2012年健保資料庫分析，糖尿病患者在西藥Aspirin治療期間，合併使用中藥知柏地黃丸，與對照組(無服用中藥)相較，不會增加腎衰竭風險。']","['248', '256']","[None, None]","['蔡金川 (2011) 建立台灣常用中藥方劑與阿司匹靈交互作用快速分析平台 (衛生福利部研究計畫)', '賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。']","[None, None]"
825,杞菊地黃丸《丸》,拉丁學名：,英文名：,基原：,學名：Aspirin,無。,['1'],['體外實驗'],['HPLC實驗分析，杞菊地黃丸對Aspirin的影響未達顯著。'],['影響未達顯著'],['248'],[None],['蔡金川 (2011) 建立台灣常用中藥方劑與阿司匹靈交互作用快速分析平台 (衛生福利部研究計畫)'],[None]
826,參苓白朮散《散》,拉丁學名：,英文名：,基原：,學名：Aspirin,無。,['1'],['體外實驗'],['HPLC實驗分析，參苓白朮散對Aspirin的影響未達顯著。'],['影響未達顯著'],['248'],[None],['蔡金川 (2011) 建立台灣常用中藥方劑與阿司匹靈交互作用快速分析平台 (衛生福利部研究計畫)'],[None]
827,四君子湯,拉丁學名：,英文名：,基原：,學名：Aspirin,無。,['1'],['體外實驗'],['HPLC實驗分析，四君子湯對Aspirin的影響未達顯著。'],['影響未達顯著'],['248'],[None],['蔡金川 (2011) 建立台灣常用中藥方劑與阿司匹靈交互作用快速分析平台 (衛生福利部研究計畫)'],[None]
828,四物湯,拉丁學名：,英文名：,基原：,學名：Aspirin,無。,['1'],['體外實驗'],['HPLC實驗分析，四物湯對Aspirin的影響未達顯著。'],['影響未達顯著'],['248'],[None],['蔡金川 (2011) 建立台灣常用中藥方劑與阿司匹靈交互作用快速分析平台 (衛生福利部研究計畫)'],[None]
829,補中益氣湯（丸）《丸》,拉丁學名：,英文名：,基原：,學名：Aspirin,無。,['1'],['體外實驗'],['HPLC實驗分析，補中益氣湯(丸)對Aspirin的影響未達顯著。'],['影響未達顯著'],['248'],[None],['蔡金川 (2011) 建立台灣常用中藥方劑與阿司匹靈交互作用快速分析平台 (衛生福利部研究計畫)'],[None]
